集合可以表示为（）,img src="/files/attach/files/content/2019/1031/rt35xpd5pkw.png",img src="/files/attach/files/content/2019/1031/dahry3t4vzp.png",img src="/files/attach/files/content/2019/1031/vn2sghn4q0s.png",img src="/files/attach/files/content/2019/1031/hdapb4jwek0.png",B,https://gz.shuatiw.com/ias/attach/files/content/2019/1031/euriyocrnce.png,ocrnce.png
如果集合A={x|ax2﹣2x﹣1=0}只有一个元素则a的值是（ ）,0,0或1,﹣1,0或﹣1,D,https://gz.shuatiw.com/ias/attach/files/content/2019/1031/xnv11pz4k15.png,pz4k15.png
下列条件能形成集合的是（ ）,充分小的负数全体,爱好飞机的一些人,某班本学期视力较差的同学,某校某班某一天所有课程,D,https://gz.shuatiw.com/ias/attach/files/content/2019/1031/pddwke4lzv2.png,e4lzv2.png
下列对象能组成集合的是（ ）,非常小的正数,世界上著名的数学家,2014年参加仁川亚运会的国家,img src="/files/attach/files/content/2019/1031/aps5dfp3yt2.png"/> 的近似值,C,https://gz.shuatiw.com/ias/attach/files/content/2019/1031/eohiwvjyyxb.png,vjyyxb.png
已知全集  ,集合  ,  ，则  ( ),img src="/files/attach/files/content/2019/1031/am04z4f5jwk.png",img src="/files/attach/files/content/2019/1031/dxwso1h3slo.png",img src="/files/attach/files/content/2019/1031/votil2melkm.png",img src="/files/attach/files/content/2019/1031/3cfaqxfqt1r.png",C,https://gz.shuatiw.com/ias/attach/files/content/2019/1031/dc43f2ms1hy.png,2ms1hy.png
已知集合，且，则实数a的取值范围是（）,img src="/files/attach/files/content/2019/1031/jyj10tshsrq.png",img src="/files/attach/files/content/2019/1031/rno25ynzlmv.png",img src="/files/attach/files/content/2019/1031/aivfd5ni1oi.png",img src="/files/attach/files/content/2019/1031/vtxxy3opu3k.png",B,https://gz.shuatiw.com/ias/attach/files/content/2019/1031/q2ul3adwcao.png,adwcao.png
设整数  ,集合  .令集合     若  和  都在  中,则下列选项正确的是( ),img height="27" src="/files/attach/files/content/2019/1031/gkvzln3lsss.png" v:shapes="_x0000570a3e5d-1a4f-4df4-89f0-e12963165756_i1028" width="81"/> ,  <img height="27" src="/files/attach/files/content/2019/1031/h4zhharwexe.png" v:shapes="_x0000570a3e5d-1a4f-4df4-89f0-e12963165756_i1033" width="81",img height="27" src="/files/attach/files/content/2019/1031/gkvzln3lsss.png" v:shapes="_x0000570a3e5d-1a4f-4df4-89f0-e12963165756_i1038" width="81"/> ,  <img height="27" src="/files/attach/files/content/2019/1031/gy0g4ydox5t.png" v:shapes="_x0000570a3e5d-1a4f-4df4-89f0-e12963165756_i1043" width="81",img height="27" src="/files/attach/files/content/2019/1031/va2fdd3dlnc.png" v:shapes="_x0000570a3e5d-1a4f-4df4-89f0-e12963165756_i1076" width="81"/> ,  <img height="27" src="/files/attach/files/content/2019/1031/gy0g4ydox5t.png" v:shapes="_x0000570a3e5d-1a4f-4df4-89f0-e12963165756_i1080" width="81",img height="27" src="/files/attach/files/content/2019/1031/va2fdd3dlnc.png" v:shapes="_x0000570a3e5d-1a4f-4df4-89f0-e12963165756_i1084" width="81"/> ,  <img height="27" src="/files/attach/files/content/2019/1031/gy0g4ydox5t.png" v:shapes="_x0000570a3e5d-1a4f-4df4-89f0-e12963165756_i1089" width="81",B,https://gz.shuatiw.com/ias/attach/files/content/2019/1031/5zvl1tf2o2i.png,tf2o2i.png
设集合，若，则y的值为( ),1,2,e,img src="/files/attach/files/content/2019/1031/yakwmjc2yks.png",B,https://gz.shuatiw.com/ias/attach/files/content/2019/1031/ojhlqlarvca.png,larvca.png
下列各组对象中不能构成集合的是（　　）,佛冈中学高一（20）班的全体男生,佛冈中学全校学生家长的全体,李明的所有家人,王明的所有好朋友,D,https://gz.shuatiw.com/ias/attach/files/content/2019/1031/c4epgzolefm.png,zolefm.png
下列对象中，不能构成集合的是（ ）,参加2012年伦敦奥运会的所有国家,数学必修1课本中的所有习题,2012年高考中合肥市取得优秀成绩的同学,所有无理数,C,https://gz.shuatiw.com/ias/attach/files/content/2019/1031/5jn2zq1bilt.png,q1bilt.png
已知集合A是由0，m，m2﹣3m+2三个元素组成的集合，且2∈A，则实数m的值为（ ）,2,3,0或3,0或2或3,B,https://gz.shuatiw.com/ias/attach/files/content/2019/1031/ynljbvwgwv5.png,vwgwv5.png
已知集合M={（x，y）|y=f（x）}，若对于任意实数对（x1  ， y1）∈M，存在（x2  ， y2）∈M，使x1x2+y1y2=0成立，则称集合M具有∟性，给出下列四个集合：①M={（x，y）|y=x3﹣2x2+3}； ②M={（x，y）|y=log2（2﹣x）}；③M={（x，y）|y=2﹣2x}； ④M={（x，y）|y=1﹣sinx}；其中具有∟性的集合的个数是（ ）,1,2,3,4,D,https://gz.shuatiw.com/ias/attach/files/content/2019/1031/3tgbhwgh0jy.png,wgh0jy.png
已知集合A={x|ax2﹣5x+6=0}，若2∈A，则集合A的子集个数为（ ）,4,3,2,1,A,https://gz.shuatiw.com/ias/attach/files/content/2019/1031/tj5hhubcctw.png,ubcctw.png
已知全集  ，  ，  ，则  （ ）,img src="/files/attach/files/content/2019/1031/kucxcfs5okp.png",img src="/files/attach/files/content/2019/1031/dd0emnj45zh.png",img src="/files/attach/files/content/2019/1031/nbrphnomntb.png",img src="/files/attach/files/content/2019/1031/taiiikpvdln.png",D,https://gz.shuatiw.com/ias/attach/files/content/2019/1031/bxb3nty15f3.png,ty15f3.png
对于任意两个正整数m, n , 定义某种运算“※”如下：当m ,n都为正偶数或正奇数时,m※n=m+n当m,n中一个为正偶数,另一个为正奇数时,m※m=mn.则在此定义下,集合※中的元素个数是( ),10个,15个,16个,18个,B,https://gz.shuatiw.com/ias/attach/files/content/2019/1031/yy3i4jzb4mp.png,jzb4mp.png
ω是正实数，设Sω={θ|f（x）=cos[ω（x+θ）]是奇函数}，若对每个实数a，Sω∩（a，a+1）的元素不超过2个，且有a使Sω∩（a，a+1）含2个元素，则ω的取值范围是（ ）,（π，2π],[π，2π）,（2π，3π],[2π，3π）,A,https://gz.shuatiw.com/ias/attach/files/content/2019/1031/mjb1wav3ev5.png,av3ev5.png
已知全集U=R，集合A={}，集合B={}，则如图所示的阴影部分表示的集合是（）,{}｛x|<img src="/files/attach/files/content/2019/1031/odqeez4z2md.png"/>或x&gt;3},{<img src="/files/attach/files/content/2019/1031/bwh4y1dzdl1.png"/>},{<img src="/files/attach/files/content/2019/1031/pbfdhlrzj1g.png"/>},{<img src="/files/attach/files/content/2019/1031/hcznm2piarc.png"/>},A,https://gz.shuatiw.com/ias/attach/files/content/2019/1031/fdjlufj1vbw.png,fj1vbw.png
设全集U是实数集R，  ，   ， 则图中阴影部分所表示的集合是（）,img src="/files/attach/files/content/2019/1031/hfdilv3f0kk.png",img src="/files/attach/files/content/2019/1031/baq5wxfb1gy.png",img src="/files/attach/files/content/2019/1031/ajpz5umqjhz.png",img src="/files/attach/files/content/2019/1031/gofgiikcopj.png",C,https://gz.shuatiw.com/ias/attach/files/content/2019/1031/zljzkypfdgf.png,ypfdgf.png
已知集合 M={y|y=x2}，用自然语言描述M应为（　　）,函数y=x<sup>2</sup>的值域,函数y=x<sup>2</sup>的定义域,函数y=x<sup>2</sup>的图象上的点组成的集合,以上说法都不对,A,https://gz.shuatiw.com/ias/attach/files/content/2019/1031/nhstlejehtb.png,ejehtb.png
设所有被4除余数为k（k=0，1，2，3）的整数组成的集合为Ak  ， 即Ak={x|x=4n+k，n∈Z}，则下列结论中错误的是（ ）,2016∈A<sub>0</sub,﹣1∈A<sub>3</sub,a∈A<sub>k</sub>  ， b∈A<sub>k</sub>  ， 则a﹣b∈A<sub>0</sub,a+b∈A<sub>3</sub>  ， 则a∈A<sub>1</sub>  ， b∈A<sub>2</sub,D,https://gz.shuatiw.com/ias/attach/files/content/2019/1031/uwrumqroqrw.png,qroqrw.png
设集合A={2，1﹣a，a2﹣a+2}，若4∈A，则a=（ ）,﹣3或﹣1或2,﹣3或﹣1,﹣3或2,﹣1或2,C,https://gz.shuatiw.com/ias/attach/files/content/2019/1031/gxny1mb3h0b.png,mb3h0b.png
方程组的解集是（）,img src="/files/attach/files/content/2019/1031/nxspch1gceu.png",img src="/files/attach/files/content/2019/1031/1mei4izkf1n.png",img src="/files/attach/files/content/2019/1031/iecc1h3v5r2.png",img src="/files/attach/files/content/2019/1031/hrdizw1op5g.png",D,https://gz.shuatiw.com/ias/attach/files/content/2019/1031/fglpd3yu05k.png,3yu05k.png
定义集合运算:.设,则集合的所有元素之和为（）,0,2,3,6,D,https://gz.shuatiw.com/ias/attach/files/content/2019/1031/qjhr5uwofc1.png,uwofc1.png
用C（A）表示非空集合A中元素的个数，定义若A={1，2}，B={x|（x2+ax）（x2+ax+2）=0}，且A*B=1，设实数a的所有可能取值构成集合S，则C（S）=（　　）,4,1,2,3,D,https://gz.shuatiw.com/ias/attach/files/content/2019/1031/2utmhfuhygu.png,fuhygu.png
已知集合A={0，a，a2}，且1∈A，则a=（　　）,1,-1,±1,0,B,https://gz.shuatiw.com/ias/attach/files/content/2019/1031/tvy2zrmiyoi.png,rmiyoi.png
设A1  ， A2  ， A3  ， …，An是集合{1，2，3，…，n}的n个非空子集（n≥2），定义aij=  ，其中i，j=1，2，…，n，这样得到的n2个数之和记为S（A1  ， A2  ， A3  ， …，An），简记为S，下列三种说法：①S与n的奇偶性相同；②S是n的倍数；③S的最小值为n，最大值为n2 ． 其中正确的判断是（ ）,①②,①③,②③,③,B,https://gz.shuatiw.com/ias/attach/files/content/2019/1031/x4ydnswv5u4.png,swv5u4.png
若1∈{x，x2}，则x=（ ）,1,﹣1,0或1,0或1或﹣1,B,https://gz.shuatiw.com/ias/attach/files/content/2019/1031/dsyxqwwrunu.png,wwrunu.png
给出下列关系：①{0}； ②  ∈Q；③3∈{x|x2=9}；④0∈Z．正确的个数是（ ）,1,2,3,4,C,https://gz.shuatiw.com/ias/attach/files/content/2019/1031/i4zoequbak4.png,qubak4.png
已知集合A={a﹣2，2a2+5a，12}，﹣3∈A，则a的值为（ ）,﹣1,img src="/files/attach/files/content/2019/1031/wcm1yfqucdr.png",-1或<img src="/files/attach/files/content/2019/1031/wtkrh5soe45.png",1或<img src="/files/attach/files/content/2019/1031/xnfjlz5x3ch.png",B,https://gz.shuatiw.com/ias/attach/files/content/2019/1031/4agvhh2ntkn.png,h2ntkn.png
若全集，则的元素个数（ ）,1个,2个,3个,4个,C,https://gz.shuatiw.com/ias/attach/files/content/2019/1031/mphnd2etqeu.png,2etqeu.png
已知集合A={1，2，3，4，5}，B={（x，y）|x∈A，y∈A，x﹣y∈A}，则B中所含元素的个数为（　　）,3,6,8,10,D,https://gz.shuatiw.com/ias/attach/files/content/2019/1031/wlipa4nabex.png,4nabex.png
下列关系正确的是（ ）,img src="/files/attach/files/content/2019/1031/fqysoojmzke.png",img src="/files/attach/files/content/2019/1031/ms2om52w0zy.png",img src="/files/attach/files/content/2019/1031/adjls5jlczl.png",img src="/files/attach/files/content/2019/1031/wkrl0w5ltwl.png",A,https://gz.shuatiw.com/ias/attach/files/content/2019/1031/slxq0afwldk.png,afwldk.png
能够组成集合的是（ ）,与2非常数接近的全体实数,很著名的科学家的全体,某教室内的全体桌子,与无理数π相差很小的数,C,https://gz.shuatiw.com/ias/attach/files/content/2019/1031/p2is1u4vomf.png,u4vomf.png
若集合A={x|x2﹣7x＜0，x∈N*}，则B={y|  ∈N*  ， y∈A}中元素的个数为（ ）,3个,4个,1个,2个,B,https://gz.shuatiw.com/ias/attach/files/content/2019/1031/ongxrqmjyu5.png,qmjyu5.png
已知全集U=R，  ，   ， 如果命题P：  ， 则命题非P是（）,img src="/files/attach/files/content/2019/1031/0vflbmjt5ul.png",img src="/files/attach/files/content/2019/1031/f4oxuxcfa1i.png",img src="/files/attach/files/content/2019/1031/0awkh0gw00f.png",img src="/files/attach/files/content/2019/1031/2mm4bmjnthn.png",C,https://gz.shuatiw.com/ias/attach/files/content/2019/1031/kfet5bdxnm0.png,bdxnm0.png
给出以下四个对象，其中能构成集合的有（ ）①教2011届高一的年轻教师；②你所在班中身高超过1.70米的同学；③2010年广州亚运会的比赛项目；④1，3，5．,1个,2个,3个,4个,C,https://gz.shuatiw.com/ias/attach/files/content/2019/1031/hprsvsagfog.png,sagfog.png
已知集合  ，  ，现从这两个集合中各取出一个元素组成一个新的双元素组合，则可以组成这样的新集合的个数为（ ）,img src="/files/attach/files/content/2019/1031/x0lny1o1mjh.png",img src="/files/attach/files/content/2019/1031/jbaeu5yhzyt.png",img src="/files/attach/files/content/2019/1031/e3pmaqkh4fw.png",img src="/files/attach/files/content/2019/1031/by3shxx0mlz.png",C,https://gz.shuatiw.com/ias/attach/files/content/2019/1031/3elo43emg4c.png,3emg4c.png
下列六个关系式：①  ；②  ；③  ；④  ；⑤  ；⑥  ，其中正确的个数为（ ）,img src="/files/attach/files/content/2019/1031/plp2jn2k4hr.png"/> 个,img src="/files/attach/files/content/2019/1031/5ufcwm0lmjk.png"/> 个,img src="/files/attach/files/content/2019/1031/o1tncsww1fi.png"/> 个,少于 <img src="/files/attach/files/content/2019/1031/o1tncsww1fi.png"/> 个,C,https://gz.shuatiw.com/ias/attach/files/content/2019/1031/qsgnt23pny0.png,23pny0.png
若全集A={x|x≥2015}，且集合B={x|2015＜x≤2050，x∈N}，则下列选项中正确的是（ ）,A与B都是有限集,A是有限集，B是无限集,AB,A∩B是有限集,D,https://gz.shuatiw.com/ias/attach/files/content/2019/1031/obcghw2pvoz.png,w2pvoz.png
方程组  的解集是（ ）,{x=0，y=1},{0，1},{（0，1）},{（x，y）|x=0或y=1},C,https://gz.shuatiw.com/ias/attach/files/content/2019/1031/yymrr5ko0n4.png,5ko0n4.png
若  ， 则的值为( ),-1,1,±1,0,A,https://gz.shuatiw.com/ias/attach/files/content/2019/1031/xebrcfvzada.png,fvzada.png
下列给出的各组对象中，不能成为集合的是（　　）,接近2的所有数,方程x<sup>2</sup>﹣1=0的所有实数根,所有的等边三角形,小于10的所有自然数,A,https://gz.shuatiw.com/ias/attach/files/content/2019/1031/wdyg4h2k3oz.png,h2k3oz.png
用C(A)表示非空集合A中的元素个数，定义  ， 若A={1,2}，B={x||x2+ax+1|=1}， 且A*B=1，由a的所有可能值构成的集合是S，则C(S)等于（）,4,3,2,1,B,https://gz.shuatiw.com/ias/attach/files/content/2019/1031/jrq5c3helqr.png,3helqr.png
下列命题正确的是（　　）,很大的实数可以构成集合,自然数集N中最小的数是1,集合{y|y=x<sup>2</sup>﹣1}与集合{（x，y）|y=x<sup>2</sup>﹣1}是同一个集合,空集是任何集合的子集．,D,https://gz.shuatiw.com/ias/attach/files/content/2019/1031/hxu14rvwtzd.png,rvwtzd.png
设集合，则=,（1，2],img src="/files/attach/files/content/2019/1031/vm1khj15ddi.png",img src="/files/attach/files/content/2019/1031/d4leaanpsek.png",[0，2],B,https://gz.shuatiw.com/ias/attach/files/content/2019/1031/43komekfoqz.png,ekfoqz.png
已知集合A＝{0，1}，则下列关系表示错误的是( ),0∈<i>A</i,{1}∈<i>A</i,i>A</i,{0，1}<i>A</i,B,https://gz.shuatiw.com/ias/attach/files/content/2019/1031/adjkau2szlt.png,u2szlt.png
设f(x)=(1+)x-. 其中  ， t为常数；集合M={x|﹤0，}，则对任意实常数t，总有( ),-3<img src="/files/attach/files/content/2019/1031/gybgtepehcy.png"/>M，0<img src="/files/attach/files/content/2019/1031/skilzvh3rso.png"/>M,-3<img src="/files/attach/files/content/2019/1031/gybgtepehcy.png"/>M，0<img src="/files/attach/files/content/2019/1031/gybgtepehcy.png"/>M,-3<img src="/files/attach/files/content/2019/1031/skilzvh3rso.png"/>M，0<img src="/files/attach/files/content/2019/1031/gybgtepehcy.png"/>M,-3<img src="/files/attach/files/content/2019/1031/skilzvh3rso.png"/>M，0<img src="/files/attach/files/content/2019/1031/skilzvh3rso.png"/>M,D,https://gz.shuatiw.com/ias/attach/files/content/2019/1031/t4cq0rd3rpr.png,rd3rpr.png
已知全集U={-2，-1，0，1，2，3，4，5，6}，集合M={大于且小于4的整数}，则( ),f,{-2，-1，5，6},{0，1，2，3，4},{-2，-1，4，5，6},D,https://gz.shuatiw.com/ias/attach/files/content/2019/1031/1nbtkbz14tk.png,bz14tk.png
已知集合M={0，1，2}，则下列关系式正确的是（ ）,{0}∈M,{0}M,0∈M,0M,C,https://gz.shuatiw.com/ias/attach/files/content/2019/1031/flvpix3bz0l.png,x3bz0l.png
已知集合A={x|x2﹣4=0}，则下列表示不正确的是（ ）,2∈A,﹣2A,A={﹣2，2},A,B,https://gz.shuatiw.com/ias/attach/files/content/2019/1031/2kjteph1s3w.png,ph1s3w.png
已知f（x﹣1）=x2+4x﹣5，则f（x）的表达式是（ ）,x<sup>2</sup>+6x,x<sup>2</sup>+8x+7,x<sup>2</sup>+2x﹣3,x<sup>2</sup>+6x﹣10,A,https://gz.shuatiw.com/ias/attach/files/content/2019/1031/heuriphcf1e.png,phcf1e.png
设集合A={x|x≤2}，m=  ，则下列关系中正确的是（ ）,mA,mA,{m}∈A,m∈A,D,https://gz.shuatiw.com/ias/attach/files/content/2019/1031/22wj0qzv43d.png,qzv43d.png
下列关系中，正确的个数为（ ）①  ；②  ；③0={0}；④0N；⑤π∈Q；⑥﹣3∈Z．,6,5,4,3,D,https://gz.shuatiw.com/ias/attach/files/content/2019/1031/jis4ppsxnq5.png,psxnq5.png
下列表示正确的是（ ）,img src="/files/attach/files/content/2019/1031/b32trzktrli.png",img src="/files/attach/files/content/2019/1031/xsysonunsgp.png",img src="/files/attach/files/content/2019/1031/qpdsmc3gwgm.png",img src="/files/attach/files/content/2019/1031/k5xlp4lp1pd.png",A,https://gz.shuatiw.com/ias/attach/files/content/2019/1031/bqpgkh3b0ar.png,h3b0ar.png
已知U为全集，A,B,I都是U的子集，且  ， 则=（）,{<img src="/files/attach/files/content/2019/1031/iz3duzf2f0f.png"/>且<img src="/files/attach/files/content/2019/1031/wyvy1oxbw2f.png"/>},{<img src="/files/attach/files/content/2019/1031/iz3duzf2f0f.png"/>或<img src="/files/attach/files/content/2019/1031/wyvy1oxbw2f.png"/>},｛<img src="/files/attach/files/content/2019/1031/hv5cd3mwimw.png"/>且<img src="/files/attach/files/content/2019/1031/wyvy1oxbw2f.png"/>},｛<img src="/files/attach/files/content/2019/1031/hv5cd3mwimw.png"/>或<img src="/files/attach/files/content/2019/1031/wyvy1oxbw2f.png"/>},D,https://gz.shuatiw.com/ias/attach/files/content/2019/1031/ysdmqknmyee.png,knmyee.png
设集合  ，则下列关系中正确的是( ),img src="/files/attach/files/content/2019/1031/japtfxdfqqu.png",img src="/files/attach/files/content/2019/1031/k1tk1hyk0wh.png",img src="/files/attach/files/content/2019/1031/hxkn5tjjnza.png",img src="/files/attach/files/content/2019/1031/30aacj13g1f.png",D,https://gz.shuatiw.com/ias/attach/files/content/2019/1031/20vb2jjtnfv.png,jjtnfv.png
下列说法正确的是（）,img src="/files/attach/files/content/2019/1031/3f5ozduz5gi.png",img src="/files/attach/files/content/2019/1031/lyuv042nd1s.png",img src="/files/attach/files/content/2019/1031/1n4aiwwsahx.png",img src="/files/attach/files/content/2019/1031/0jur3h3aowg.png",B,https://gz.shuatiw.com/ias/attach/files/content/2019/1031/eib5ozdu3qu.png,zdu3qu.png
下列四个关系式中，正确的是（）。,img src="/files/attach/files/content/2019/1031/yza0qtprayc.png",img src="/files/attach/files/content/2019/1031/gb2hmih2gn0.png",img src="/files/attach/files/content/2019/1031/sfg4ur35wfg.png",img src="/files/attach/files/content/2019/1031/gaiih5vqlm1.png",D,https://gz.shuatiw.com/ias/attach/files/content/2019/1031/r1odgnqoq1k.png,nqoq1k.png
已知M＝{x|y＝x2－2}，N＝{y|y＝x2－2}，则M∩N等于（）,N,M,R,Φ,A,https://gz.shuatiw.com/ias/attach/files/content/2019/1031/whvsptcrbuw.png,tcrbuw.png
下列四组对象，能构成集合的是（ ）,某班所有高个子的学生,著名的艺术家,一切很大的书,倒数等于它自身的实数,D,https://gz.shuatiw.com/ias/attach/files/content/2019/1031/qi1rpmq4sxk.png,mq4sxk.png
下列集合中，不同于另外三个集合的是（ ）,{0},{y|y<sup>2</sup>=0},{x|x=0},{x=0},D,https://gz.shuatiw.com/ias/attach/files/content/2019/1031/nolrjshsmo5.png,shsmo5.png
下列表示：①{0}=；②{0}；③  ∈{x|x≤2}；④{x∈N|  ∈N}={0，2，3，4，5}中，错误的是（ ）,①②,①③,①④,③④,C,https://gz.shuatiw.com/ias/attach/files/content/2019/1031/qk1qc3xqo1j.png,3xqo1j.png
设t＞0，函数f（x）=  的值域为M，若2M，则t的取值范围是（ ）,（ <img src="/files/attach/files/content/2019/1031/l2mhzpjzxrd.png"/> ，1）,（ <img src="/files/attach/files/content/2019/1031/l2mhzpjzxrd.png"/> ，1],[ <img src="/files/attach/files/content/2019/1031/l2mhzpjzxrd.png"/> ，1）,[ <img src="/files/attach/files/content/2019/1031/l2mhzpjzxrd.png"/> ，1],B,https://gz.shuatiw.com/ias/attach/files/content/2019/1031/0pdor23eukb.png,23eukb.png
已知集合A={1,2,3,4}，B={2,4,6,8}，则A  B中元素的个数为（ ）,1,2,3,4,B,https://gz.shuatiw.com/ias/attach/files/content/2019/1031/ouupz1vfioz.png,1vfioz.png
设a=  ， M={x|x≤}，给出下列关系：①aM；②M{a}；③{a}∈M；④{Ф}{a}；⑤2aM；其中正确的关系式共有（）,2个,3个,4个,5个,A,https://gz.shuatiw.com/ias/attach/files/content/2019/1031/0efqxww0wcn.png,ww0wcn.png
下列不能构成集合的是（　　）,1﹣20以内的所有质数,方程x<sup>2</sup>+x﹣2=0的所有实根,新华高中的全体个子较高的同学,所有的正方形,C,https://gz.shuatiw.com/ias/attach/files/content/2019/1031/q5lhilbrvd3.png,lbrvd3.png
已知全集U＝R，集合  ，集合  ，则A∩B＝( ),,(1,2],[2，＋∞),(1，＋∞),C,https://gz.shuatiw.com/ias/attach/files/content/2019/1031/bpdj1q1egoe.png,q1egoe.png
从集合的所有子集中任取一个，这个集合恰是集合的子集的概率是（）,img src="/files/attach/files/content/2019/1031/hsudnypmaoc.png",img src="/files/attach/files/content/2019/1031/b2syuk2bct5.png",img src="/files/attach/files/content/2019/1031/d11wa5imjz2.png",img src="/files/attach/files/content/2019/1031/xagosxn1oiw.png",C,https://gz.shuatiw.com/ias/attach/files/content/2019/1031/1iz4snl2bk4.png,nl2bk4.png
已知集合A={﹣1，1}，B={m|m=x+y，x∈A，y∈A}，则集合B等于（ ）,{﹣2，2},{﹣2，0，2},{﹣2，0},{0},B,https://gz.shuatiw.com/ias/attach/files/content/2019/1031/s0ffycalmee.png,calmee.png
若用C、R、I分别表示复数集、实数集、纯虚数集，则有（ ）,C=R∪I,R∩I={0},．<sub>C</sub>R=C∩I,R∩I=,D,https://gz.shuatiw.com/ias/attach/files/content/2019/1031/314031pgbwl.png,1pgbwl.png
集合M={（x，y）|xy≤0，x，y∈R}的意义是（ ）,第二象限内的点集,第四象限内的点集,第二、四象限内的点集,不在第一、三象限内的点的集合,D,https://gz.shuatiw.com/ias/attach/files/content/2019/1031/e32kagimte4.png,gimte4.png
设“x为不小于0的实数”用区间可表示为（ ）,（0，+∞）,[0，+∞）,（﹣∞，0）,（﹣∞，0],B,https://gz.shuatiw.com/ias/attach/files/content/2019/1031/kmobmjwj4bj.png,jwj4bj.png
设P、Q是两个非空集合，定义集合间的一种运算“⊙”：P⊙Q={x|x∈P∪Q，且xP∩Q}．如果  ，则P⊙Q=（ ）,[0，1]∪（2，+∞）,[0，1]∪[4，+∞）,[1，4],（4，+∞）,A,https://gz.shuatiw.com/ias/attach/files/content/2019/1031/xzw154fjftr.png,4fjftr.png
已知集合A={x∈N|﹣2＜x＜3}，则集合A中的元素是（ ）,﹣2，﹣1，0，1，2，3,0，1，2，3,0，1，2,1，2,C,https://gz.shuatiw.com/ias/attach/files/content/2019/1031/gfmirnur4l2.png,nur4l2.png
已知集合, 。若存在实数a,b使得成立,称点为“￡”点，则“￡”点在平面区域内的个数是 ( ),0,1,2,无数个,A,https://gz.shuatiw.com/ias/attach/files/content/2019/1031/ogz4t3w4i1g.png,3w4i1g.png
下面各组对象中不能形成集合的是（　　）,所有的直角三角形,圆x<sup>2</sup>+y<sup>2</sup>=1上的所有点,高一年级中家离学校很远的学生,高一年级的班主任,C,https://gz.shuatiw.com/ias/attach/files/content/2019/1031/3hsgrdauhmy.png,dauhmy.png
如果A=  ， 那么（）,img src="/files/attach/files/content/2019/1031/1ct5w5rmwjg.png",img src="/files/attach/files/content/2019/1031/d1swayl4uqk.png",img src="/files/attach/files/content/2019/1031/i5kl1utg2rw.png",img src="/files/attach/files/content/2019/1031/uj3twbquqvu.png",D,https://gz.shuatiw.com/ias/attach/files/content/2019/1031/s22nbehlg4i.png,ehlg4i.png
设集合，则（）,img src="/files/attach/files/content/2019/1031/fwkpsrnkmem.png",img src="/files/attach/files/content/2019/1031/aqvgoz4gf0b.png",img src="/files/attach/files/content/2019/1031/ppicxj4tqig.png",img src="/files/attach/files/content/2019/1031/owdd1mpwrhv.png",C,https://gz.shuatiw.com/ias/attach/files/content/2019/1031/1djcly1k2et.png,y1k2et.png
