题目,A,B,C,D,正确答案,解析连接,图片名称,,,,,
关于参考系的选择，下列说法中正确的是（ ）,必须选择地面为参考系,参考系是可以任意选取的,必须选择静止不动的物体为参考系,必须选择运动的物体为参考系,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/0dcce9a9591bb29980f7b1d55b34_10145396ex.png,29980f7b1d55b34_10145396ex.png,,,,,
以下情景中，可以看成质点的选项是( ),小敏观察蚂蚁拖动饭粒时，研究蚂蚁的肢体是如何分工的,小英测算蚂蚁拖到饭粒时，研究蚂蚁5min爬行的路程,在跳水比赛中，裁判员给跳水运动员评分,在跳高训练中，教练观察运动员的跳高过程,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/be78bae1cda9ee3bb5389ec844b9_14478197ex.png,e3bb5389ec844b9_14478197ex.png,,,,,
下列说法中正确的是,由于“辽宁舰”航母“高大威武”，故任何情况下都不能看成质点,战斗机飞行员可以把正在甲板上手势指挥的调度员看成是一个质点,在战斗机飞行训练中，研究战斗机的空中翻滚动作时，战斗机可以看成质点,研究“辽宁舰”航母在大海中运动轨迹时，航母可以看成质点,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/d45179dea3ab8166532c57dc0742_8474398ex.png,8166532c57dc0742_8474398ex.png,,,,,
下列说法正确的是,研究一名学生从家步行1km到学校的时间可把学生看做质点,出租汽车上标明收费标准为1.6元/km，其中km 指的是位移,光穿过窗玻璃用时为10<sup>-11</sup>秒， 10<sup>-11</sup>是时刻,“巍巍青山两岸走”，在这句歌词中作者是以青山为参考系,A,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/5602e3408d9938720dd442173c2c_1015879ex.png,38720dd442173c2c_1015879ex.png,,,,,
下列关于质点的理解与判断的说法中正确的是( ),体积小的物体都能看成质点,质量巨大的物体都不能看成质点,研究“神十一”的轨迹时，“神十一”可以视为质点,研究“神十一”和“天宫二号”自动交会对接过程时，“神十一”和“天宫二号”可视为质点,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/6a6bbd28854c81afd6df9e914123_8093757ex.png,81afd6df9e914123_8093757ex.png,,,,,
下列物体或人,可以看作质点的是（ ）①研究跳水运动员在跳水比赛中的空中姿态②研究长跑运动员在万米长跑比赛中③研究一列火车通过某路口所用的时间④研究我国科学考察船去南极途中,①③,②③,①④,②④,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/1fa02d7d16e93da52fae0917c426_8039013ex.png,3da52fae0917c426_8039013ex.png,,,,
下列关于质点的说法，正确的是（ ）,体积很小的物体都可看成质点,质量很小的物体都可看成质点,物体的大小和形状在所研究的问题中起的作用很小，可以忽略不计时，我们就可以把物体看成质点,只有低速运动的物体才可看成质点，高速运动的物体不可看成质点,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/528a6a37aa659ab4278257cb59b8_4554396ex.png,9ab4278257cb59b8_4554396ex.png,,,,,
下列关于运动的描述正确的是 (　　),我们说“太阳东升西落”是以太阳为参考系的,我们说“地球围绕太阳转”是以地球为参考系的,我们说“同步卫星在高空静止”是以太阳为参考系的,坐在火车上的乘客看到铁路旁的树木、电线杆迎面向他飞奔而来,乘客是以火车为参考系,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/b0192e11871d9d98d2b72126f3b2_8474052ex.png,9d98d2b72126f3b2_8474052ex.png,,,,
第二届夏季青年奥林匹克运动会将于2014年8月在南京举行，青奥会比赛将在“三大场馆区”的15个不同竞赛场馆进行26个项目比赛，将向世界奉献一届精彩的青奥会．在考察下列运动员的比赛成绩时，可视为质点的是（　　）,马拉松,跳水,击剑,体操,A,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/554702f3ad25ed8a470ea5e8b883_1316733ex.png,ed8a470ea5e8b883_1316733ex.png,,,,,
“小小竹排江中流，巍巍青山两岸走”。在这两句诗中，作者在前一句和后一句所选的参考系分别是（ ）,竹排 流水,河岸 竹排,青山 河岸,流水 青山,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/4044592c503ca2261db145008959_14543869ex.png,2261db145008959_14543869ex.png,,,,,
图为正在航拍的旋翼无人机，下列过程能将无人机看成质点的是（ ）,调节无人机旋翼转速,调节摄像机镜头方向,研究无人机空中停留时间,研究风力、风向对无人机的影响,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/4b9e48b5a6ec4d70d8d7e6a869da_3591287ex.png,4d70d8d7e6a869da_3591287ex.png,,,,,
下列情况中的运动物体，不能被看成质点的是（ ）,研究绕地球运动的卫星的运动情况,计算在传送带上输送的工件数量,计算从北京开往上海的一列动车的运行时间,研究飞行中直升机上的螺旋桨的转动情况,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/5c7c156462a4b4d8be0326c89307_3591151ex.png,b4d8be0326c89307_3591151ex.png,,,,,
一个小球从距地面5m高处落下，被地面弹回，在距地面1m高处被接住，坐标原点定在释放点正下方2m处，竖直向下为坐标轴正方向。则小球的释放点、落地点、接住点的位置坐标分别是（ ）,–2m，3，2m,–2m，2m，1m,–2m，–2m，–1m,4m，0，1m,A,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/604732cb5c0f2b877d8458636969_8474390ex.png,2b877d8458636969_8474390ex.png,,,,,
南北朝傅翕曾写下这样一首诗：“空手把锄头，步行骑水牛。人在桥上走，桥流水不流。”其中“桥流水不流”一句应理解成其选择的参照物是(　　),水,桥,人,地面,A,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/a3345b343e90c500425f7f100db2_1009652ex.png,c500425f7f100db2_1009652ex.png,,,,,
下列物体中，不能看做质点的是（ ）,计算火车从北京开往上海的运行时间,研究航天飞机相对地球飞行的周期时，绕地球飞行的航天飞机,正在比赛的花样滑冰运动员,研究地球公转规律时的地球,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/5b3388d809ad77e9e0260ca9d6b6_14543871ex.png,7e9e0260ca9d6b6_14543871ex.png,,,,,
下列情况中加划线的物体，哪些不可以看作质点？（）,研究温州<u>快客</u>通过宜山大桥的运行快慢,研究公转规律时的<u>地球</u,研究“神州”六号<u>飞船</u>绕地球运行的高度,研究<u>火车</u>通过一座铁路桥所用的时间,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/848c18296274000763f80c70c516_1021951ex.png,000763f80c70c516_1021951ex.png,,,,,
质点是一种理想化的物理模型，下面对质点的理解正确的是（ ）,只有体积很小的物体才可以看作质点,只有质量很小的物体才可以看作质点,研究月球绕地球运动的周期时，可将月球看作质点,因为地球的质量和体积很大，所以在任何情况下都不能将地球看作质点,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/078138674460826ce0a9edfe834c_10242462ex.png,26ce0a9edfe834c_10242462ex.png,,,,,
描述一个物体的运动时，关于运动与参考系，以下说法正确的是( ),诗句“满眼波光多闪灼，看山恰似走来迎，仔细看山山不动，是船行”中，“看山恰似走来迎”和“是船行”所选的参考系分别是山和船,诗人陈与义写到：“飞花两岸照船红，百里榆堤半日风，卧看满天云不动，不知云与我俱东。”在这首诗当中，“云与我俱东”是以两岸的红花为参考系的,“坐地日行八万里，巡天遥看一千河。”这一句诗表明坐在地上的人是绝对静止的,在夜晚，发现“月亮在白莲花般的云朵里穿行”，这时选定的参考系是月亮,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/8849da2d8c46719cfb53e69b5b48_10556256ex.png,19cfb53e69b5b48_10556256ex.png,,,,,
分析下列运动项目比赛中运动员的运动情况时，可将运动员视为质点的是（ ）,武术,蹦床,自由体操,马拉松赛跑,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/1384ff7ec56352d3be976c544248_3620454ex.png,52d3be976c544248_3620454ex.png,,,,,
某校高一的新同学分别乘两辆汽车去市公园游玩。两辆汽车在平直公路上运动，甲车内一同学看见乙车没有运动，而乙车内一同学看见路旁的树木向西移动。如果以地面为参考系，那么，上述观察说明（ ）,甲车不动，乙车向东运动,乙车不动，甲车向东运动,甲车向西运动，乙车向东运动,甲、乙两车以相同的速度都向东运动,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/58b2ca380abba9be3d8d236d32b0_1018209ex.png,a9be3d8d236d32b0_1018209ex.png,,,,,
下列关于质点的说法中正确的是（）,只要是体积很小的球体就可以视为质点,研究一汽车从淮阴到南京的运动时间时可以将其视为质点,因为太阳的体积太大了，所以任何情况下都不可以将其视为质点,质量很大的物体无论在任何情况下都不能看成质点,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/c33196f65549dae4dd367f9104d8_1019183ex.png,dae4dd367f9104d8_1019183ex.png,,,,,
运动质点的v﹣x图象如图所示，图线为顶点在坐标原点，开口向右的一条抛物线，则下列判断不正确的是（　　）,质点做初速度为零的匀加速直线运动,质点的加速度大小为5m/s<sup>2</su,质点在3s末的速度大小为30m/s,质点在0～3s内的平均速度大小为7.5m/s,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/92a2741751a5d5c8db291361b136_4510987ex.png,d5c8db291361b136_4510987ex.png,,,,,
由于卫星的发射场不在赤道上，同步卫星发射后需要从转移轨道经过调整再进入地球同步轨道．当卫星在转移轨道上飞经赤道上空时，发动机点火，给卫星一附加速度，使卫星沿同步轨道运行．已知同步卫星的环绕速度约为3.1×103m/s，某次发射卫星飞经赤道上空时的速度为1.55×103m/s，此时卫星的高度与同步轨道的高度相同，转移轨道和同步轨道的夹角为30°，如图所示，发动机给卫星的附加速度的方向和大小约为（ ）,西偏北方向，1.9×10<sup>3</sup>m/s,东偏南方向，1.9×10<sup>3</sup>m/s,西偏北方向，2.7×10<sup>3</sup>m/s,东偏南方向，2.7×10<sup>3</sup>m/s,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/f5a3b0996a746a9e5517f67955d0_2456443ex.png,6a9e5517f67955d0_2456443ex.png,,,,,
如图所示，工地上常用的塔吊起吊重物时，塔吊的水平横臂保持静止，悬挂重物的小车沿水平横臂匀速运动，同时使吊钩下的重物匀速上升．关于重物的运动，下列判断正确的有（　　）,做曲线运动,做直线运动,速度大小不变，方向不改变,速度大小和方向都不变,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/edc74925b1ef36f055d51653fd61_1345969ex.png,36f055d51653fd61_1345969ex.png,,,,,
小船在100m宽的水中渡河，水流速度为5m/s，船在静水中的速度为4m/s，则以下说法中正确的是（ ）,小船渡河的最短时间为20s,要使小船渡河的位移最短，则船身与河岸上游应垂直,船渡河的最小位移为100m,船渡河的最小位移为125m,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/32cdf5b1d938f6b2a09c6a9b0e0b_4425677ex.png,f6b2a09c6a9b0e0b_4425677ex.png,,,,,
小华同学遥控小船做过河实验，并绘制了四幅小船过河的航线图如图所示．图中实线为河岸，河水的流动速度不变，方向如图水平向右，虚线为小船从河岸M驶向对岸N的实际航线，小船相对于静水的速度不变．则（ ）,img alt="" height="106" src="/files/attach/files/content/2020/0324/0a0242ae5bcf7af6331dfa568f67cff9.png" v:shapes="_x0000_i1126" width="120"/>航线是正确的，船头保持图中的方向，小船过河时间最短,img alt="" height="103" src="/files/attach/files/content/2020/0324/9b85513c9efeb5a5a6bb11cbd0db1450.png" v:shapes="_x0000_i1125" width="120"/>航线是正确的，船头保持图中的方向，小船过河时间最短,img alt="" height="103" src="/files/attach/files/content/2020/0324/b7069102d7d2a1ea25bec637e2364f2a.png" v:shapes="_x0000_i1124" width="120"/>航线是正确的，船头保持图中的方向，小船过河位移最短,img alt="" height="103" src="/files/attach/files/content/2020/0324/bd69262283d275e23826dc10f3e345ad.png" v:shapes="_x0000_i1123" width="120"/>航线是不正确的，如果船头保持图中的方向，船的轨迹应该是曲线,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/7ddcc89b1ba392827c09d89a5821_4425883ex.png,92827c09d89a5821_4425883ex.png,,,,,
如图所示，湖中有一条小船，岸上人用缆绳跨过定滑轮拉船靠岸。若用恒速υ0拉绳，当绳与竖直方向成α角时。小船前进的瞬时速度是( ),υ<sub>0</sub>sinα,υ<sub>0</sub>/sinα,υ<sub>0</sub>cosα,υ<sub>0</sub>/cosα,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/cc9563c7bb64fc747cd20c4ac6ac_8264491ex.png,fc747cd20c4ac6ac_8264491ex.png,,,,,
如图，在离水面高度为H的岸边，有人收绳子，使船靠岸，为了使船匀速靠岸，拉绳的速度必须是（）,匀速,加速,减速,先加速后减速,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/cc65fb0e2fd803fcc8f3c76e151c_1012654ex.png,03fcc8f3c76e151c_1012654ex.png,,,,,
A、B两物体通过一根跨过定滑轮的轻绳相连放在水平面上，现物体A以v1的速度向右匀速运动，当绳被拉成与水平面夹角分别是α、β时，如图所示．物体B的运动速度vB为(绳始终有拉力)(　　),i>v</i><sub>1</sub>sin<i>α</i>/sin<i>β</i,i>v</i><sub>1</sub>cos<i>α</i>/sin<i>β</i,i>v</i><sub>1</sub>sin<i>α</i>/cos<i>β</i,i>v</i><sub>1</sub>cos<i>α</i>/cos<i>β</i,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/cd467897d2c82bd43ddf490f1846_1011806ex.png,2bd43ddf490f1846_1011806ex.png,,,,,
关于运动的合成分解，下列说法正确的是（ ）,合运动的方向就是物体实际运动的方向,合速度的大小一定比每个分速度的大小都大,两个匀变速直线运动的合运动一定也是匀变速直线运动,两个直线运动的合运动一定也是直线运动,A,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/24b9e536f7c0444abfc01f64000e_4706036ex.png,444abfc01f64000e_4706036ex.png,,,,,
物体在匀速下降过程中遇到水平方向吹来的风，若风速越大，则物体（）,下落的时间越短,下落的时间越长,落地时的速度越小,落地时速度越大,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/01b27a254fce77f234354d467c0d_1019148ex.png,77f234354d467c0d_1019148ex.png,,,,,
一艘船在静水中的速度为3m/s，今欲过一条宽为60 m的河,若已知水的流速为4 m/s,则船过河的最短时间为（ ）,20s,15s,12s,10s,A,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/5229da214871eafb56fe89a814fa_8072665ex.png,eafb56fe89a814fa_8072665ex.png,,,
某人以一定的速率垂直河岸将船向对岸划去，当水流匀速时，关于他过河所需的时间、发生位移与水速的关系是（）,水速小时，位移小，时间短,水速大时，位移大，时间长,水速大时，位移大，时间不变,位移、时间与水速无关,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/71adbc2ae7bc4702fd504667a243_1023071ex.png,4702fd504667a243_1023071ex.png,,,,,
如图所示，在水平力F作用下，物体B沿水平面向右运动，物体A恰匀速上升，那么以下说法正确的是（ ）,物体B正向右做匀减速运动,斜绳与水平成30°时， <img src="/files/attach/files/content/2020/0324/1585043169.292.png",地面对B的摩擦力减小,物体B正向右做加速运动,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/3bffaf5fef75f441a9ab85d5193c_13292788ex.png,441a9ab85d5193c_13292788ex.png,,,,,
